地區,大廈名單,最後個案居住日期,相關疑似/確診個案
中西區,上環市政大廈 (非住宅),22/07/2020,2225
中西區,上環市政大廈熟食中心 (非住宅),07/07/2020,1596
中西區,中國工商銀行大廈 (非住宅),17/07/2020,1749
中西區,中國工商銀行大廈 (非住宅),17/7/2020,1749
中西區,中建大廈 (非住宅),09/07/2020,1612
中西區,中環李錦記 (非住宅),23/07/2020,2419
中西區,信德中心西座 (非住宅),08/07/2020,1605
中西區,信德中心西座 (非住宅),22/07/2020,2225
中西區,僑發大廈,,1888
中西區,凌霄閣 (非住宅),12/07/2020,1517
中西區,凌霄閣 (非住宅),12/7/2020,1517
中西區,勝基中心 (非住宅),18/07/2020,1864
中西區,勝基中心 (非住宅),18/7/2020,1864
中西區,勵精中心 (非住宅),15/07/2020,1745
中西區,勵精中心 (非住宅),15/7/2020,1745
中西區,卑路乍街123號 (非住宅),12/07/2020,1664
中西區,卑路乍街123號 (非住宅),12/7/2020,1664
中西區,卑路乍街125號 (非住宅),21/07/2020,2361
中西區,卑路乍街125號 (非住宅),21/7/2020,2361
中西區,南和行大廈 (非住宅),08/07/2020,1596
中西區,同興樓 豪景茶餐廳 (非住宅),15/07/2020,1759
中西區,嘉寶大廈 (非住宅),16/07/2020,1888
中西區,嘉寶大廈 (非住宅),16/7/2020,1888
中西區,嘉諾撒醫院 (非住宅),10/07/2020,1447
中西區,嘉諾撒醫院 (非住宅),10/7/2020,1447
中西區,國際金融中心商場 Duck & Waffle (非住宅),22/07/2020,2099
中西區,國際金融中心商場 Duck & Waffle (非住宅),22/7/2020,2099
中西區,城紫蘭樓,,2767
中西區,堅尼地城社區綜合大樓 (非住宅),15/07/2020,1759
中西區,大學堂宿舍 (非住宅),24/07/2020,2561
中西區,太古廣場 Kokomi (非住宅),19/07/2020,2193
中西區,太古廣場 Kokomi (非住宅),19/7/2020,2193
中西區,威享大廈 (非住宅),22/07/2020,2768
中西區,富輝商業中心 聚點坊點心專門店 (非住宅),09/07/2020,"1474, 1479, 1518, 1550, 1664"
中西區,寶翠閣B座,,2768
中西區,山頂廣場 (非住宅),12/07/2020,1869
中西區,山頂廣場 (非住宅),12/7/2020,1869
中西區,山頂廣場 麥奀雲吞麵世家 (非住宅),12/07/2020,1869
中西區,山頂廣場 麥奀雲吞麵世家 (非住宅),12/7/2020,1869
中西區,干諾道西118號 (非住宅),07/07/2020,1440
中西區,干諾道西118號 (非住宅),20/07/2020,2001
中西區,康威花園A座,,2546
中西區,怡和大廈 (非住宅),14/07/2020,1997
中西區,怡和大廈 (非住宅),14/7/2020,1997
中西區,新街市街8號海港酒家 (上環店) (非住宅),08/07/2020,1664
中西區,昌泰商業大廈 (非住宅),09/07/2020,1664
中西區,東昌大廈 (非住宅),21/07/2020,2026
中西區,歐陸貿易中心 (非住宅),20/07/2020,2143
中西區,歐陸貿易中心 (非住宅),20/7/2020,2143
